and,1
that,001
but,0001
or,0101
as,0110
if,00001
when,01001
than,01111
because,010000
while,0000001
where,0000011
so,0100011
though,0111001
after,0111010
since,0111011
until,00000000
whether,00000100
although,00000101
before,01000100
even,01110000
nor,011100011
like,0000000100
once,0000000110
unless,0100010100
long,0111000100
now,0111000101
except,00000001010
far,00000001011
for,00000001111
rather,01000101010
soon,01000101011
whereas,01000101100
not,01000101101
in,01000101111
and/or,000000011100
provided,000000011101
case,010001011100
till,010001011101
